
央视频道,#genre#

 CCTV1,http://112.74.115.68:35455/gaoma/cctv1.m3u8
 CCTV2,http://111.170.172.113:35455/gaoma/cctv2.m3u8
 CCTV3,http://lt.hxtre.com:35455/gaoma/cctv3.m3u8
 CCTV4,http://lt.hxtre.com:35455/gaoma/cctv4.m3u8
 CCTV5,http://lt.hxtre.com:35455/gaoma/cctv5.m3u8
 CCTV5+,http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8
 CCTV6,http://112.74.115.68:35455/gaoma/cctv6.m3u8
 CCTV7,http://111.170.172.113:35455/gaoma/cctv7.m3u8
 CCTV8,http://231114.xyz:35455/gaoma/cctv8.m3u8
 CCTV9,http://www.52iptv.vip:35455/gaoma/cctv9.m3u8
 CCTV10,http://112.74.115.68:35455/gaoma/cctv10.m3u8
 CCTV11,http://112.74.115.68:35455/gaoma/cctv11.m3u8
 CCTV12,http://112.74.115.68:35455/gaoma/cctv12.m3u8
 CCTV13,http://112.74.115.68:35455/gaoma/cctv13.m3u8
 CCTV14,http://112.74.115.68:35455/gaoma/cctv14.m3u8
 CCTV15,http://112.74.115.68:35455/gaoma/cctv15.m3u8
 CCTV16,http://112.74.115.68:35455/gaoma/cctv16.m3u8
 CCTV17,http://112.74.115.68:35455/gaoma/cctv17.m3u8
 CCTV音乐,http://123.138.22.30:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
 CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
 CCTV央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8
 CCTV女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
 CCTV怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
 CCTV第一剧场,http://jf.jxx2023.work:40446/tsfile/live/1049_1.m3u8
 CCTV风云剧场,http://jf.jxx2023.work:40446/tsfile/live/1150_1.m3u8
 CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
 CCTV风云音乐,http://nas.hssvm.com:8888/udp/225.1.1.192:5002
 CCTV高尔夫球,http://nas.hssvm.com:8888/udp/225.1.1.182:5002
 CCTV发现之旅,https://www.freetv.top/migu/624878970.m3u8?migutoken=1fb695563c621535fa91c6ce464f6619a2f8eb7af5c0876841c0dbd8f3063c14ba77e8028cb91f1b0dc0662e4ae7ac50ef325c26ba8a61b56fe7e5546acd6da429931c15a5d4bcb10ac2dd9831
 CCTV电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
 CCTV老故事,https://www.freetv.top/migu/884121956.m3u8?migutoken=550b8ac2d06ef43bd80e29582185fe693959996048d7b572ce1659fe9376b6101cf9002c0034445668d6e11645eab13a11978ca20adae4f4248041add5d27f4d8e71fd2a4e44fd398c8fb3614b
 CCTV中学生,https://www.freetv.top/migu/708869532.m3u8?migutoken=6c81e13830a98cbed803f493e618e4e89c3621b2efaaad23df06f39f09d8bc8f989e3c74636452d64f5fbbb22e8a8f415885c938478dcf670f80e2e8b7d311443e18a58b907caf453ad5b576cd
 CGTN,https://0472.org/hls/cgtn.m3u8
 CGTN,https://0472.org/hls/cgtn.m3u8
 CGTN俄语,https://0472.org/hls/cgtne.m3u8
 CGTN法语,https://0472.org/hls/cgtnf.m3u8
 CGTN法语,https://0472.org/hls/cgtnf.m3u8
 CGTN纪录,https://0472.org/hls/cgtnd.m3u8
 CGTN纪录,https://0472.org/hls/cgtnd.m3u8
 CGTN西语,https://0472.org/hls/cgtnx.m3u8
 CGTN西语,https://0472.org/hls/cgtnx.m3u8
 CGTN阿语,https://0472.org/hls/cgtna.m3u8

undefined,#genre#
